Rate: 1000 Hz
      Fx,        Fy,        Fz,        Mx,        My,        Mz
       N,         N,         N,       N-m,       N-m,       N-m
-2.39972, -3.53912, 688.65114, -9.68424,  3.52851, -0.24512
-1.95533, -3.62760, 691.11196, -9.68424,  3.36992, -0.26263
-2.22197, -3.53912, 691.11196, -9.64504,  3.48886, -0.31515
-2.48860, -3.80456, 691.46340, -9.52741,  3.29063, -0.28014
-2.04421, -3.98151, 691.11196, -9.52741,  3.56815, -0.33266
-2.31084, -3.89304, 692.16652, -9.72345,  3.36992, -0.24512
-1.86645, -3.53912, 691.11196, -9.68424,  3.29063, -0.29764
-2.31084, -3.45065, 689.70583, -9.56662,  3.36992, -0.22761
-2.39972, -3.71608, 690.76040, -9.72345,  3.44922, -0.31515
-1.95533, -3.71608, 691.46340, -9.80186,  3.33028, -0.24512
-2.04421, -3.36217, 690.76040, -9.60583,  3.56815, -0.28014
-2.31084, -3.45065, 691.46340, -9.56662,  3.52851, -0.24512
-2.13309, -3.71608, 692.16652, -9.56662,  3.48886, -0.31515
-2.13309, -4.06999, 692.16652, -9.68424,  3.56815, -0.26263
-2.39972, -3.89304, 691.81496, -9.64504,  3.56815, -0.24512
-2.13309, -4.06999, 690.05727, -9.72345,  3.40957, -0.31515
-2.13309, -3.62760, 692.86953, -9.76266,  3.52851, -0.29764
-2.48860, -4.06999, 692.16652, -9.64504,  3.52851, -0.22761
-1.86645, -3.80456, 691.46340, -9.80186,  3.48886, -0.22761
-2.13309, -3.80456, 690.05727, -9.60583,  3.44922, -0.29764
-2.13309, -3.80456, 692.51809, -9.68424,  3.60780, -0.21010
-1.77757, -4.24695, 692.16652, -9.56662,  3.40957, -0.24512
-2.13309, -3.71608, 691.81496, -9.60583,  3.48886, -0.31515
-2.39972, -3.71608, 691.46340, -9.76266,  3.52851, -0.33266
-1.95533, -3.53912, 691.46340, -9.64504,  3.60780, -0.28014
-2.57748, -3.80456, 692.51809, -9.80186,  3.68709, -0.28014
-2.13309, -3.80456, 693.92421, -9.76266,  3.52851, -0.31515
-2.04421, -3.62760, 692.16652, -9.56662,  3.52851, -0.35017
-2.39972, -3.98151, 691.46340, -9.76266,  3.60780, -0.33266
-2.31084, -3.45065, 692.51809, -9.64504,  3.56815, -0.31515
-2.39972, -3.53912, 693.57265, -9.64504,  3.44922, -0.29764
-2.04421, -3.45065, 692.86953, -9.84107,  3.48886, -0.31515
-2.31084, -3.62760, 691.81496, -9.84107,  3.60780, -0.26263
-2.22197, -3.53912, 693.22109, -9.84107,  3.52851, -0.31515
-2.57748, -3.53912, 691.46340, -9.76266,  3.36992, -0.38519
-2.13309, -4.06999, 691.81496, -9.80186,  3.48886, -0.33266
-1.86645, -3.89304, 692.86953, -9.76266,  3.68709, -0.31515
-2.22197, -3.80456, 691.46340, -9.84107,  3.48886, -0.29764
-2.22197, -4.15847, 692.51809, -9.76266,  3.64745, -0.24512
-1.86645, -3.80456, 692.16652, -9.76266,  3.56815, -0.31515
-1.86645, -3.53912, 692.51809, -9.80186,  3.52851, -0.33266
