Rate: 1000 Hz
      Fx,        Fy,        Fz,        Mx,        My,        Mz
       N,         N,         N,       N-m,       N-m,       N-m
-0.35551, -1.50413, 685.13588, 18.66275, -2.57700, -0.52526
-0.62215, -1.68108, 684.78432, 18.54513, -2.37877, -0.54276
-0.44439, -1.23869, 685.13588, 18.62354, -2.49771, -0.49024
-0.35551, -1.85804, 684.78432, 18.46671, -2.49771, -0.45522
-0.35551, -1.59261, 685.13588, 18.54513, -2.57700, -0.45522
-0.26664, -2.03500, 685.83889, 18.50592, -2.53735, -0.52526
-0.35551, -1.76956, 684.08132, 18.58434, -2.53735, -0.47273
-0.26664, -1.68108, 685.13588, 18.38830, -2.49771, -0.50775
-0.26664, -1.32717, 685.13588, 18.66275, -2.57700, -0.49024
-0.71103, -1.68108, 686.19045, 18.62354, -2.65629, -0.50775
-0.35551, -1.68108, 685.13588, 18.70196, -2.41842, -0.43771
-0.44439, -1.59261, 686.19045, 18.38830, -2.81488, -0.54276
-0.26664, -1.85804, 684.78432, 18.66275, -2.57700, -0.47273
-0.17776, -1.32717, 686.19045, 18.70196, -2.69594, -0.59529
 0.00000, -1.41565, 685.48745, 18.81958, -2.89417, -0.49024
-0.44439, -1.50413, 685.48745, 18.46671, -2.77523, -0.49024
-0.08888, -1.68108, 685.48745, 18.54513, -2.57700, -0.54276
 0.26664, -1.94652, 686.89357, 18.54513, -2.73558, -0.56027
-0.35551, -1.59261, 684.43276, 18.50592, -2.81488, -0.50775
 0.08888, -1.59261, 686.54201, 18.70196, -2.85452, -0.50775
 0.08888, -1.85804, 684.43276, 18.62354, -3.01311, -0.52526
-0.26664, -1.59261, 686.54201, 18.46671, -2.93382, -0.54276
-0.17776, -1.94652, 686.19045, 18.66275, -2.77523, -0.54276
-0.35551, -1.50413, 686.89357, 18.50592, -2.97346, -0.57778
-0.17776, -2.21195, 685.48745, 18.50592, -2.73558, -0.50775
-0.26664, -2.03500, 686.54201, 18.46671, -2.73558, -0.57778
 0.08888, -1.76956, 686.19045, 18.50592, -2.85452, -0.59529
-0.26664, -1.85804, 686.19045, 18.50592, -2.85452, -0.54276
 0.17776, -1.94652, 688.29970, 18.42751, -2.89417, -0.54276
-0.08888, -2.03500, 684.08132, 18.34909, -2.73558, -0.54276
-0.35551, -1.68108, 686.89357, 18.46671, -2.85452, -0.50775
 0.00000, -2.12347, 686.89357, 18.38830, -2.97346, -0.43771
 0.00000, -1.32717, 686.89357, 18.34909, -2.85452, -0.49024
-0.26664, -1.94652, 689.00271, 18.27068, -2.93382, -0.56027
 0.17776, -2.03500, 687.59658, 18.34909, -3.05275, -0.40270
 0.00000, -2.21195, 687.94814, 18.42751, -2.85452, -0.54276
-0.53327, -1.76956, 687.24502, 18.34909, -3.05275, -0.50775
 0.00000, -2.47739, 687.59658, 18.34909, -2.93382, -0.47273
-0.17776, -1.68108, 688.65114, 18.27068, -2.97346, -0.45522
 0.00000, -2.47739, 688.65114, 18.34909, -2.97346, -0.47273
 0.00000, -2.83130, 688.29970, 18.23147, -3.21134, -0.47273
