Rate: 1000 Hz
      Fx,        Fy,        Fz,        Mx,        My,        Mz
       N,         N,         N,       N-m,       N-m,       N-m
-3.46627, -4.77782, 693.92421, -19.32928,  1.22903, -0.45522
-3.91066, -4.51238, 691.81496, -19.44690,  1.11009, -0.42020
-3.64402, -4.95477, 692.51809, -19.32928,  0.95151, -0.43771
-3.46627, -4.86630, 693.22109, -19.32928,  1.14974, -0.42020
-3.91066, -4.77782, 691.81496, -19.40769,  0.91186, -0.40270
-3.99954, -4.95477, 691.81496, -19.40769,  1.14974, -0.47273
-3.37739, -4.77782, 692.51809, -19.44690,  1.03080, -0.38519
-3.99954, -5.13173, 692.51809, -19.48611,  1.14974, -0.45522
-3.55515, -4.51238, 693.57265, -19.29007,  1.18938, -0.42020
-3.37739, -4.51238, 693.92421, -19.25086,  1.07045, -0.45522
-3.82178, -4.68934, 692.86953, -19.32928,  1.14974, -0.43771
-3.91066, -5.04325, 694.27566, -19.36849,  1.22903, -0.33266
-3.64402, -4.24695, 692.16652, -19.36849,  1.18938, -0.47273
-3.55515, -4.95477, 694.97878, -19.21166,  0.91186, -0.43771
-3.73290, -4.51238, 691.46340, -19.09403,  1.30832, -0.45522
-3.64402, -4.95477, 692.16652, -19.29007,  1.14974, -0.42020
-3.91066, -4.33543, 692.16652, -19.13324,  1.46691, -0.43771
-3.64402, -4.68934, 692.86953, -19.21166,  1.26868, -0.45522
-3.55515, -4.68934, 692.51809, -19.13324,  1.34797, -0.42020
-3.73290, -4.06999, 694.62722, -19.32928,  1.34797, -0.33266
-3.82178, -4.33543, 694.97878, -19.17245,  1.30832, -0.42020
-3.91066, -4.15847, 692.51809, -19.05483,  1.30832, -0.47273
-3.55515, -4.42390, 692.51809, -19.05483,  1.34797, -0.42020
-3.64402, -4.33543, 692.16652, -19.05483,  1.34797, -0.40270
-3.82178, -4.60086, 694.27566, -19.01562,  1.46691, -0.38519
-3.91066, -4.42390, 693.92421, -18.97641,  1.46691, -0.43771
-3.91066, -4.68934, 693.22109, -18.93720,  1.26868, -0.50775
-4.08842, -4.24695, 693.22109, -18.93720,  1.62549, -0.47273
-3.55515, -4.68934, 693.57265, -18.97641,  1.46691, -0.38519
-3.82178, -4.33543, 692.16652, -18.89800,  1.58585, -0.45522
-3.55515, -4.60086, 692.16652, -19.01562,  1.38762, -0.49024
-3.73290, -4.60086, 693.92421, -18.89800,  1.50655, -0.40270
-4.08842, -4.06999, 692.16652, -18.89800,  1.46691, -0.40270
-4.08842, -4.60086, 692.16652, -18.93720,  1.42726, -0.45522
-3.91066, -4.86630, 694.62722, -18.66275,  1.50655, -0.42020
-3.82178, -4.33543, 692.51809, -18.81958,  1.50655, -0.47273
-3.82178, -4.42390, 692.86953, -18.97641,  1.58585, -0.42020
-3.82178, -4.51238, 692.51809, -18.89800,  1.54620, -0.50775
-3.82178, -4.86630, 693.92421, -18.54513,  1.62549, -0.43771
-3.99954, -4.33543, 693.57265, -18.58434,  1.38762, -0.50775
-3.91066, -4.42390, 692.51809, -18.58434,  1.82372, -0.42020
-3.55515, -4.42390, 692.86953, -18.93720,  1.62549, -0.47273
-4.17730, -4.68934, 691.46340, -18.54513,  1.70478, -0.40270
-3.73290, -4.60086, 693.92421, -18.58434,  1.42726, -0.50775
-4.08842, -4.51238, 693.92421, -18.85879,  1.82372, -0.49024
-3.99954, -4.42390, 692.86953, -18.54513,  1.46691, -0.40270
-3.99954, -4.15847, 693.22109, -18.78037,  1.62549, -0.45522
-4.08842, -4.42390, 692.16652, -18.50592,  1.54620, -0.45522
-3.55515, -3.98151, 692.86953, -18.58434,  1.58585, -0.42020
-3.73290, -4.42390, 692.86953, -18.38830,  1.46691, -0.47273
-3.91066, -4.06999, 691.11196, -18.46671,  1.50655, -0.54276
-3.82178, -4.15847, 691.46340, -18.58434,  1.54620, -0.45522
-3.99954, -3.98151, 693.57265, -18.30988,  1.62549, -0.49024
-3.73290, -4.06999, 691.81496, -18.34909,  1.62549, -0.49024
-3.91066, -3.89304, 694.62722, -18.42751,  1.54620, -0.49024
-3.64402, -4.33543, 691.81496, -18.38830,  1.42726, -0.43771
-3.91066, -4.15847, 691.46340, -18.50592,  1.74443, -0.66532
-3.64402, -3.98151, 693.57265, -18.30988,  1.54620, -0.50775
-3.82178, -3.71608, 693.92421, -18.07464,  1.46691, -0.49024
-3.91066, -4.06999, 691.81496, -18.23147,  1.74443, -0.59529
-3.91066, -4.06999, 692.51809, -18.50592,  1.58585, -0.56027
-3.99954, -3.80456, 693.57265, -18.15305,  1.62549, -0.57778
-3.99954, -3.80456, 692.86953, -18.15305,  1.46691, -0.50775
-4.08842, -3.98151, 692.86953, -18.38830,  1.54620, -0.52526
-3.99954, -4.06999, 692.16652, -18.30988,  1.50655, -0.54276
-3.82178, -3.80456, 692.86953, -18.23147,  1.54620, -0.59529
-3.91066, -3.98151, 691.81496, -18.11385,  1.62549, -0.56027
-3.99954, -3.80456, 693.57265, -18.19226,  1.54620, -0.59529
-3.99954, -3.89304, 691.46340, -18.11385,  1.58585, -0.50775
-4.08842, -4.15847, 693.57265, -18.07464,  1.46691, -0.57778
-3.91066, -4.06999, 691.46340, -18.07464,  1.54620, -0.57778
-3.55515, -3.98151, 693.57265, -18.07464,  1.38762, -0.59529
-3.82178, -3.45065, 693.22109, -18.03543,  1.50655, -0.59529
-3.99954, -3.71608, 692.86953, -18.15305,  1.54620, -0.57778
-3.99954, -3.45065, 691.46340, -18.03543,  1.86337, -0.59529
-3.99954, -3.89304, 693.57265, -17.95702,  1.54620, -0.56027
-4.26617, -3.80456, 691.81496, -18.03543,  1.66514, -0.57778
-4.08842, -3.45065, 692.51809, -17.87860,  1.46691, -0.56027
-3.73290, -3.71608, 693.22109, -17.87860,  1.62549, -0.52526
-3.64402, -3.45065, 692.51809, -18.07464,  1.54620, -0.61280
-3.73290, -3.53912, 692.51809, -17.76098,  1.62549, -0.63031
-3.99954, -3.27369, 689.35427, -17.91781,  1.54620, -0.54276
-4.53281, -3.53912, 691.46340, -17.80019,  1.46691, -0.56027
-4.35505, -3.62760, 692.16652, -17.80019,  1.58585, -0.56027
-3.99954, -3.45065, 691.11196, -17.72177,  1.86337, -0.63031
-3.99954, -3.45065, 689.35427, -17.80019,  1.62549, -0.59529
-4.26617, -3.45065, 691.11196, -17.76098,  1.66514, -0.70034
-3.91066, -3.18521, 690.76040, -17.76098,  1.62549, -0.57778
-4.26617, -3.62760, 690.05727, -17.76098,  1.66514, -0.52526
-3.91066, -3.36217, 691.11196, -17.52573,  1.50655, -0.49024
-4.53281, -3.36217, 690.76040, -17.68256,  1.54620, -0.61280
-3.91066, -3.62760, 690.40883, -17.72177,  1.70478, -0.61280
-3.91066, -3.80456, 689.35427, -17.76098,  1.74443, -0.61280
-4.35505, -3.27369, 689.70583, -17.68256,  1.62549, -0.61280
-3.99954, -3.80456, 690.40883, -17.72177,  1.70478, -0.64781
-3.91066, -3.36217, 689.70583, -17.64336,  1.50655, -0.56027
-4.17730, -3.71608, 690.76040, -17.76098,  1.74443, -0.63031
-4.08842, -3.89304, 689.70583, -17.56494,  1.58585, -0.56027
-4.08842, -3.62760, 690.76040, -17.52573,  1.58585, -0.54276
-4.35505, -3.71608, 690.76040, -17.52573,  1.70478, -0.56027
-4.26617, -3.53912, 689.35427, -17.48653,  1.54620, -0.59529
-4.08842, -3.36217, 690.76040, -17.56494,  1.62549, -0.61280
-4.17730, -3.71608, 689.70583, -17.72177,  1.54620, -0.59529
-4.08842, -3.53912, 690.76040, -17.52573,  1.66514, -0.52526
-3.99954, -3.89304, 690.05727, -17.48653,  1.66514, -0.52526
-3.99954, -3.09673, 690.05727, -17.40811,  1.46691, -0.64781
-4.44393, -3.53912, 690.05727, -17.40811,  1.62549, -0.63031
-3.91066, -3.53912, 689.70583, -17.72177,  1.62549, -0.56027
-3.82178, -3.45065, 689.70583, -17.44732,  1.54620, -0.54276
-4.53281, -3.18521, 690.05727, -17.32970,  1.54620, -0.49024
-3.99954, -3.36217, 690.05727, -17.32970,  1.82372, -0.61280
-3.99954, -3.09673, 689.70583, -17.32970,  1.74443, -0.54276
-4.26617, -3.36217, 690.05727, -17.48653,  1.42726, -0.64781
-3.91066, -3.00826, 689.00271, -17.52573,  1.66514, -0.54276
-4.44393, -3.36217, 691.11196, -17.32970,  1.74443, -0.49024
-3.99954, -3.62760, 689.00271, -17.32970,  1.58585, -0.56027
-4.08842, -3.36217, 688.29970, -17.44732,  1.86337, -0.52526
-3.82178, -3.53912, 690.76040, -17.29049,  1.70478, -0.56027
-3.73290, -3.27369, 689.70583, -17.40811,  1.74443, -0.43771
-3.99954, -3.27369, 688.29970, -17.09445,  1.50655, -0.52526
-4.26617, -3.53912, 691.11196, -17.21207,  1.62549, -0.56027
-4.35505, -3.09673, 688.29970, -17.13366,  1.50655, -0.52526
-4.17730, -3.18521, 688.65114, -17.36890,  1.54620, -0.52526
-4.26617, -3.09673, 690.76040, -17.29049,  1.50655, -0.50775
-3.91066, -2.83130, 690.05727, -17.21207,  1.78408, -0.57778
-3.99954, -3.00826, 690.76040, -17.21207,  1.58585, -0.52526
-3.82178, -2.65434, 689.00271, -17.25128,  1.70478, -0.49024
-3.64402, -2.83130, 689.35427, -17.32970,  1.34797, -0.49024
-3.73290, -3.18521, 689.35427, -17.13366,  1.58585, -0.43771
-3.99954, -3.00826, 688.65114, -17.25128,  1.70478, -0.50775
-3.91066, -3.09673, 688.65114, -17.05525,  1.46691, -0.45522
-3.91066, -2.65434, 687.59658, -17.21207,  1.54620, -0.49024
-3.73290, -3.27369, 687.59658, -17.09445,  1.50655, -0.42020
-3.82178, -3.00826, 689.70583, -16.85921,  1.42726, -0.47273
-3.99954, -3.00826, 687.59658, -17.13366,  1.62549, -0.50775
-3.82178, -2.83130, 689.35427, -17.09445,  1.62549, -0.43771
-3.55515, -2.65434, 688.65114, -17.09445,  1.62549, -0.47273
-4.17730, -3.00826, 687.59658, -16.97683,  1.62549, -0.43771
-3.82178, -2.83130, 689.70583, -17.01604,  1.50655, -0.50775
-3.73290, -3.27369, 688.65114, -17.05525,  1.54620, -0.54276
-3.82178, -3.45065, 688.29970, -16.93762,  1.54620, -0.36768
